t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
646.0,-189.0,-611.0,1339.0,30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0
-189.0,-611.0,1339.0,30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0
-611.0,1339.0,30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0
1339.0,30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0
30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0
1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0
-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0
561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0
470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0
3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0
360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0
3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0
1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0
3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0
3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0
4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0
2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0
1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0
1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0
-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0
1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0
-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0
1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0
185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0
18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0
-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0,4539.0
3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0,4539.0,880.0
-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0,4539.0,880.0,1887.0
1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0,4539.0,880.0,1887.0,765.0
125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0,4539.0,880.0,1887.0,765.0,2907.0
-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0,4539.0,880.0,1887.0,765.0,2907.0,1664.0
2394.0,2458.0,3680.0,2045.0,1405.0,1505.0,4539.0,880.0,1887.0,765.0,2907.0,1664.0,2830.0
2458.0,3680.0,2045.0,1405.0,1505.0,4539.0,880.0,1887.0,765.0,2907.0,1664.0,2830.0,820.0
3680.0,2045.0,1405.0,1505.0,4539.0,880.0,1887.0,765.0,2907.0,1664.0,2830.0,820.0,-2182.0
2045.0,1405.0,1505.0,4539.0,880.0,1887.0,765.0,2907.0,1664.0,2830.0,820.0,-2182.0,-890.0
1405.0,1505.0,4539.0,880.0,1887.0,765.0,2907.0,1664.0,2830.0,820.0,-2182.0,-890.0,-86.0
1505.0,4539.0,880.0,1887.0,765.0,2907.0,1664.0,2830.0,820.0,-2182.0,-890.0,-86.0,495.0
4539.0,880.0,1887.0,765.0,2907.0,1664.0,2830.0,820.0,-2182.0,-890.0,-86.0,495.0,1046.0
880.0,1887.0,765.0,2907.0,1664.0,2830.0,820.0,-2182.0,-890.0,-86.0,495.0,1046.0,1866.0
1887.0,765.0,2907.0,1664.0,2830.0,820.0,-2182.0,-890.0,-86.0,495.0,1046.0,1866.0,1526.0
765.0,2907.0,1664.0,2830.0,820.0,-2182.0,-890.0,-86.0,495.0,1046.0,1866.0,1526.0,2666.0
2907.0,1664.0,2830.0,820.0,-2182.0,-890.0,-86.0,495.0,1046.0,1866.0,1526.0,2666.0,14.0
1664.0,2830.0,820.0,-2182.0,-890.0,-86.0,495.0,1046.0,1866.0,1526.0,2666.0,14.0,4461.0
2830.0,820.0,-2182.0,-890.0,-86.0,495.0,1046.0,1866.0,1526.0,2666.0,14.0,4461.0,103.0
820.0,-2182.0,-890.0,-86.0,495.0,1046.0,1866.0,1526.0,2666.0,14.0,4461.0,103.0,2378.0
-2182.0,-890.0,-86.0,495.0,1046.0,1866.0,1526.0,2666.0,14.0,4461.0,103.0,2378.0,3943.0
-890.0,-86.0,495.0,1046.0,1866.0,1526.0,2666.0,14.0,4461.0,103.0,2378.0,3943.0,4873.0
-86.0,495.0,1046.0,1866.0,1526.0,2666.0,14.0,4461.0,103.0,2378.0,3943.0,4873.0,493.0
495.0,1046.0,1866.0,1526.0,2666.0,14.0,4461.0,103.0,2378.0,3943.0,4873.0,493.0,-205.0
1046.0,1866.0,1526.0,2666.0,14.0,4461.0,103.0,2378.0,3943.0,4873.0,493.0,-205.0,259.0
1866.0,1526.0,2666.0,14.0,4461.0,103.0,2378.0,3943.0,4873.0,493.0,-205.0,259.0,-990.0
1526.0,2666.0,14.0,4461.0,103.0,2378.0,3943.0,4873.0,493.0,-205.0,259.0,-990.0,-2864.0
2666.0,14.0,4461.0,103.0,2378.0,3943.0,4873.0,493.0,-205.0,259.0,-990.0,-2864.0,-1314.0
14.0,4461.0,103.0,2378.0,3943.0,4873.0,493.0,-205.0,259.0,-990.0,-2864.0,-1314.0,199.0
4461.0,103.0,2378.0,3943.0,4873.0,493.0,-205.0,259.0,-990.0,-2864.0,-1314.0,199.0,346.0
103.0,2378.0,3943.0,4873.0,493.0,-205.0,259.0,-990.0,-2864.0,-1314.0,199.0,346.0,2506.0
2378.0,3943.0,4873.0,493.0,-205.0,259.0,-990.0,-2864.0,-1314.0,199.0,346.0,2506.0,-995.0
3943.0,4873.0,493.0,-205.0,259.0,-990.0,-2864.0,-1314.0,199.0,346.0,2506.0,-995.0,-135.0
4873.0,493.0,-205.0,259.0,-990.0,-2864.0,-1314.0,199.0,346.0,2506.0,-995.0,-135.0,-1891.0
493.0,-205.0,259.0,-990.0,-2864.0,-1314.0,199.0,346.0,2506.0,-995.0,-135.0,-1891.0,-449.0
-205.0,259.0,-990.0,-2864.0,-1314.0,199.0,346.0,2506.0,-995.0,-135.0,-1891.0,-449.0,-1152.0
259.0,-990.0,-2864.0,-1314.0,199.0,346.0,2506.0,-995.0,-135.0,-1891.0,-449.0,-1152.0,736.0
-990.0,-2864.0,-1314.0,199.0,346.0,2506.0,-995.0,-135.0,-1891.0,-449.0,-1152.0,736.0,-2443.0
-2864.0,-1314.0,199.0,346.0,2506.0,-995.0,-135.0,-1891.0,-449.0,-1152.0,736.0,-2443.0,3404.0
-1314.0,199.0,346.0,2506.0,-995.0,-135.0,-1891.0,-449.0,-1152.0,736.0,-2443.0,3404.0,2181.0
199.0,346.0,2506.0,-995.0,-135.0,-1891.0,-449.0,-1152.0,736.0,-2443.0,3404.0,2181.0,-1168.0
346.0,2506.0,-995.0,-135.0,-1891.0,-449.0,-1152.0,736.0,-2443.0,3404.0,2181.0,-1168.0,-1679.0
2506.0,-995.0,-135.0,-1891.0,-449.0,-1152.0,736.0,-2443.0,3404.0,2181.0,-1168.0,-1679.0,197.0
-995.0,-135.0,-1891.0,-449.0,-1152.0,736.0,-2443.0,3404.0,2181.0,-1168.0,-1679.0,197.0,1052.0
-135.0,-1891.0,-449.0,-1152.0,736.0,-2443.0,3404.0,2181.0,-1168.0,-1679.0,197.0,1052.0,-1443.0
-1891.0,-449.0,-1152.0,736.0,-2443.0,3404.0,2181.0,-1168.0,-1679.0,197.0,1052.0,-1443.0,-1007.0
-449.0,-1152.0,736.0,-2443.0,3404.0,2181.0,-1168.0,-1679.0,197.0,1052.0,-1443.0,-1007.0,985.0
-1152.0,736.0,-2443.0,3404.0,2181.0,-1168.0,-1679.0,197.0,1052.0,-1443.0,-1007.0,985.0,2643.0
736.0,-2443.0,3404.0,2181.0,-1168.0,-1679.0,197.0,1052.0,-1443.0,-1007.0,985.0,2643.0,-846.0
-2443.0,3404.0,2181.0,-1168.0,-1679.0,197.0,1052.0,-1443.0,-1007.0,985.0,2643.0,-846.0,2033.0
3404.0,2181.0,-1168.0,-1679.0,197.0,1052.0,-1443.0,-1007.0,985.0,2643.0,-846.0,2033.0,2018.0
2181.0,-1168.0,-1679.0,197.0,1052.0,-1443.0,-1007.0,985.0,2643.0,-846.0,2033.0,2018.0,-1030.0
-1168.0,-1679.0,197.0,1052.0,-1443.0,-1007.0,985.0,2643.0,-846.0,2033.0,2018.0,-1030.0,3804.0
-1679.0,197.0,1052.0,-1443.0,-1007.0,985.0,2643.0,-846.0,2033.0,2018.0,-1030.0,3804.0,3288.0
197.0,1052.0,-1443.0,-1007.0,985.0,2643.0,-846.0,2033.0,2018.0,-1030.0,3804.0,3288.0,787.0
1052.0,-1443.0,-1007.0,985.0,2643.0,-846.0,2033.0,2018.0,-1030.0,3804.0,3288.0,787.0,4155.0
-1443.0,-1007.0,985.0,2643.0,-846.0,2033.0,2018.0,-1030.0,3804.0,3288.0,787.0,4155.0,1061.0
-1007.0,985.0,2643.0,-846.0,2033.0,2018.0,-1030.0,3804.0,3288.0,787.0,4155.0,1061.0,864.0
